"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|IAM export|Access review records|User account listing|Approval tickets|Authentication logs|MFA configuration screenshots|Password manager records|Risk register|Risk assessment report|Treatment plan|Other,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Data Classification,"<i>- Data must be classified using the classification table defined below.
- Data classification must be determined by the data owner or responsible department.
- Classification must be reviewed and updated when data usage or sensitivity changes.
- Where technically feasible, data classification must be reflected using labels or metadata.

| Classification | Classification Criteria | Examples |
|---------------|-------------------------|----------|
| Public | Information intended to be accessible by anyone. Disclosure causes no harm to the organization or individuals. | Public website content, marketing materials, press releases |
| Internal | Information whose disclosure could cause limited operational or reputational impact but does not involve regulated or sensitive data. | Internal policies, procedures, internal communications, project documentation |
| Confidential | Information whose disclosure, modification, or loss could cause significant harm. Includes personally identifiable information (PII), regulated data, or sensitive business information. | Employee PII, customer PII, financial records, contracts |
| Restricted | Information whose disclosure, modification, or loss could cause severe or critical harm to the organization or individuals. Includes highly sensitive PII and security-critical data. | Authentication secrets, cryptographic keys, government identifiers, security configurations, M&A data |</i>",5.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.1,Does this requirement reflect your company current practice: An organization-wide data inventory must exist.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.2 6.3|6.4|6.4|6.4,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.5,Does this requirement reflect your company current practice: The data inventory must be maintained and kept up to date.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.6 6.7|6.8|6.8|6.8,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.9,"Does this requirement reflect your company current practice: The data inventory must identify, at a minimum:",,2,Yes|No|Somewhat|Not applicable,,0,,,6.10 6.11|6.12|6.12|6.12,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.13,Does this requirement reflect your company current practice: Name or description of the data set,,2,Yes|No|Somewhat|Not applicable,,0,,,6.14 6.15|6.16|6.16|6.16,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.16,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.17,Does this requirement reflect your company current practice: Data owner,,2,Yes|No|Somewhat|Not applicable,,0,,,6.18 6.19|6.20|6.20|6.20,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.18,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.19,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.20,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.21,Does this requirement reflect your company current practice: Data classification,,2,Yes|No|Somewhat|Not applicable,,0,,,6.22 6.23|6.24|6.24|6.24,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.22,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.23,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.24,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.25,"Does this requirement reflect your company current practice: Type of data (e.g. business data, personal data, PII)",,2,Yes|No|Somewhat|Not applicable,,0,,,6.26 6.27|6.28|6.28|6.28,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.26,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.27,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.28,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.29,"Does this requirement reflect your company current practice: Applicable legal, regulatory, or contractual obligations",,2,Yes|No|Somewhat|Not applicable,,0,,,6.30 6.31|6.32|6.32|6.32,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.30,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Supplier register|Due diligence questionnaire|Contract clauses|Supplier review records|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.31,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.32,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.33,Does this requirement reflect your company current practice: The data inventory must be reviewed periodically and updated when significant changes occur.,,2,Yes|No|Somewhat|Not applicable,,0,,,6.34 6.35|6.36|6.36|6.36,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.34,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.35,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
6,Standard - Data Inventory,"<i>- An organization-wide data inventory must exist.
- The data inventory must be maintained and kept up to date.
- The data inventory must identify, at a minimum:
  - Name or description of the data set
  - Data owner
  - Data classification
  - Type of data (e.g. business data, personal data, PII)
  - Applicable legal, regulatory, or contractual obligations
- The data inventory must be reviewed periodically and updated when significant changes occur.</i>",6.36,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.1,Does this requirement reflect your company current practice: Data must be stored only in locations appropriate to its classification.,,2,Yes|No|Somewhat|Not applicable,,0,,,7.2 7.3|7.4|7.4|7.4,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.5,Does this requirement reflect your company current practice: Encryption at rest is required for all data classifications except Public.,,2,Yes|No|Somewhat|Not applicable,,0,,,7.6 7.7|7.8|7.8|7.8,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.6,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Encryption configuration|Key management records|Certificate inventory|Secret management export|Screenshots|System exports|Other,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.7,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.8,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.9,"Does this requirement reflect your company current practice: Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.",,2,Yes|No|Somewhat|Not applicable,,0,,,7.10 7.11|7.12|7.12|7.12,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.10,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Supplier register|Due diligence questionnaire|Contract clauses|Supplier review records|Screenshots|System exports|Other,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.11,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.12,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.13,Does this requirement reflect your company current practice: Restricted data must only be stored in systems with enhanced security controls.,,2,Yes|No|Somewhat|Not applicable,,0,,,7.14 7.15|7.16|7.16|7.16,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.14,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|Screenshots|System exports|Other,,0,,,,1
7,Standard - Data Storage,"<i>- Data must be stored only in locations appropriate to its classification.
- Encryption at rest is required for all data classifications except Public.
- Internal, Confidential, and Restricted data must only be stored in company-controlled systems or approved and controlled third-party systems.
- Restricted data must only be stored in systems with enhanced security controls.</i>",7.15,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
