Control Title,PCI DSS v4.0.1,ISO 27001:2022,ISO 27002:2022,SOC 2 (TSP 2017),NIST 800-53 Rev5,CIS Controls v8.1,SCF 2025,NIS2 Article 21,ISO 27701:2025,ISO 45001:2018,ISO 42001:2023,ISO 37001:2025,ISO 9001:2015,OWASP LLM Top 10 2025,NIST AI 600-1 2024,EU AI Act 2024/1689,AESCSF-SP1
Third-Party PII Disclosure Review,—,—,—,"P6.1, P6.2, P6.3, P6.4, P6.5, P6.6",—,—,DCH-25,—,"A.1.5.4, A.1.5.5, A.2.1.1, A.2.1.2, A.2.1.3, A.2.2.1, A.2.2.2, A.2.2.3, A.2.3.1, A.2.3.2, A.2.5.1, A.2.5.2, A.2.5.3, A.2.5.4, A.2.5.5, A.2.5.6, A.2.5.7, A.2.5.8, A.2.5.9",—,—,—,—,—,—,—,—
Data Masking and DLP Effectiveness Review,"3.3.1.1, 3.3.1.2",—,"8.11, 8.12",—,—,—,"NET-17, DCH-16",—,—,—,—,—,—,—,—,—,—
Cryptographic Key Storage and Access Review,"3.5.1.1, 3.5.1.2, 3.5.1.3, 3.6.1.2, 3.6.1.3, 3.6.1.4",—,8.24,—,—,3.11,—,—,—,—,—,—,—,—,—,—,—
Acceptable Use Policy Compliance Review,12.2.1,—,5.1,—,—,—,GOV-14,—,—,—,—,—,—,—,—,—,—
Intellectual Property and Records Compliance Review,—,—,"5.32, 5.33",—,—,—,"DCH-18, DCH-27",—,—,—,—,—,—,—,—,—,—
Capacity Planning Review,—,—,8.6,CC7.2,—,—,"CAP-01, CAP-03",—,—,—,—,—,—,—,—,—,—
Capacity and Performance Monitoring Review,—,—,8.6,A1.1,—,—,"CAP-01, CAP-02, CAP-04",—,—,—,—,—,—,—,—,—,—
Threat Hunting and Intelligence Programme Review,—,—,5.7,—,—,17.6,"THR-07, THR-09, THR-10, THR-11",—,—,—,—,—,—,—,—,—,—
Incident Response Training and Testing Review,"12.10.4, 12.10.4.1",—,5.26,—,—,17.4,IRO-02,—,—,—,—,—,—,—,—,—,—
Threat Modeling Review,—,—,8.25,—,—,16.14,"SEA-03, TDA-15",—,—,—,—,—,—,—,—,—,—
Design and Development Controls Review,—,—,8.25,—,—,—,"TDA-01, TDA-04",—,—,—,—,—,"8.3.1, 8.3.2, 8.3.3, 8.3.4, 8.3.5, 8.3.6",—,—,—,—
Session and Concurrent Access Controls Review,8.2.8,—,—,—,—,4.3,"IAC-23, IAC-24, IAC-25",—,—,—,—,—,—,—,—,—,—
Identity Proofing and Device Authentication Review,8.2.1,—,—,—,—,"5.6, 6.1",IAC-28,—,—,—,—,—,—,—,—,—,—
Remote and Mobile Device Access Review,8.4.3,—,"6.7, 8.1",—,—,12.6,"MDM-01, MDM-02, MDM-06, MDM-07",—,—,—,—,—,—,—,—,—,—
Cloud Security Controls Review,—,—,5.23,—,—,4.1,"CLD-01, CLD-02, CLD-03, CLD-10, CLD-11",—,—,—,—,—,—,—,—,—,—
Web Application Security Review,6.2.3.1,—,8.29,—,—,16.1,"WEB-01, WEB-03, WEB-09, WEB-10, WEB-11",—,—,—,—,—,—,—,—,—,—
Intrusion Detection and File Integrity Monitoring Review,11.5.1,—,—,—,—,"13.2, 13.3, 13.7, 13.8","END-06, MON-18",—,—,—,—,—,—,—,—,—,—
Supply Chain Integrity and Provenance Review,—,—,5.21,—,—,"16.4, 16.5",TDA-11,—,—,—,—,—,—,—,—,—,—
Mobile Device Management Review,—,—,8.1,—,—,4.2,"MDM-01, MDM-02, MDM-03, MDM-04, MDM-05",—,—,—,—,—,—,—,—,—,—
Insider Threat Programme Review,—,—,6.3,—,—,17.7,"THR-04, THR-05",—,—,—,—,—,—,—,—,—,—
Workforce Competency and Skills Review,—,—,6.3,—,—,—,HRS-13,—,7.2,7.2,—,—,7.2,—,—,—,—
Security Operations Effectiveness Review,—,—,5.25,—,—,17.1,"OPS-04, OPS-06",—,—,—,—,—,—,—,—,—,—
File Integrity Monitoring Review,"10.3.4, 11.5.2",—,—,—,—,13.7,"END-06, MON-18",—,—,—,—,—,—,—,—,—,—
Enterprise Architecture and Security Review,—,,—,—,—,—,"SEA-02, GOV-09",—,—,—,—,—,—,—,—,—,—
Data Governance Review,—,—,—,CC2.1,—,—,GOV-10,—,"8.2, 8.3",—,—,—,—,—,—,—,—
Worker Consultation and Participation Review,—,—,—,—,—,—,—,—,—,5.4,—,—,—,—,—,—,—
Information Security Risk Assessment,"12.3.1, 12.3.2","6.1.2, 8.2",—,"CC3.1, CC3.2, CC3.3, CC3.4",—,—,—,"Article 21(1), Article 21(2) (a), Article 21(2) (f)",—,—,—,—,6.1,—,—,—,—
Risk Treatment Plan Review,—,"6.1.3, 8.3",—,CC9.1,—,—,RSK-01,—,—,—,6.1.3,—,—,—,—,—,—
ISMS Resource Adequacy Review,—,7.1,—,—,—,—,—,—,7.1,7.1,—,—,"7.1.1, 7.1.2, 7.1.3, 7.1.4, 7.1.5.1, 7.1.5.2, 7.1.6",—,—,—,—
ISMS Performance Measurement Review,—,9.1,—,—,—,—,—,—,9.1,9.1,9.1,37001:2025 - 9.1,"6.2, 9.1.1, 9.1.3",—,—,—,—
Test Data Management Review,—,—,8.33,—,—,—,—,—,A.3.31,—,—,—,—,—,—,—,—
Audit and Testing Environment Controls Review,—,—,8.34,—,—,—,—,—,—,—,—,—,—,—,—,—,—
