Title,Description,Audit Methodology,Policy Procedure
SOC 2 Control Effectiveness Monitoring,Ongoing monitoring of controls in scope for SOC 2 to confirm they are operating effectively and any deficiencies are identified and communicated.,Evidence required: control monitoring results for the period (automated or manual); deficiency log showing issues identified and management responses. Analysis: confirm all in-scope controls were tested during the period; confirm deficiencies were communicated to responsible parties; confirm remediation of deficiencies is tracked. Conclusion: document untested controls and outstanding deficiencies. Review quarterly.,Risk_Management > Internal Information Security Compliance Review
Availability and Processing Integrity Monitoring,Monitoring of system availability and processing integrity against defined commitments and service level agreements.,"Evidence required: availability monitoring report for the period showing uptime, incidents, and SLA performance; processing integrity check results (e.g. data validation reports, error logs). Analysis: confirm availability met defined commitments; confirm any availability incidents were investigated and root-caused; confirm processing integrity controls detected and flagged errors. Conclusion: document SLA breaches and processing errors. Monitor continuously; review monthly.",Business_Continuity > BCP and DR Plan Review
System Security Plan Review,"Review and maintenance of the system security plan documenting security controls, responsibilities, and authorisation status for in-scope systems.","Evidence required: current system security plan (SSP) with version, review date, and authorising official signature; change log. Analysis: confirm the SSP reflects current system configuration and control implementation; confirm it was reviewed within the last 12 months or following significant changes; confirm all controls are documented with implementation status. Conclusion: document outdated sections. Conduct review annually.",Risk_Management > Risk Register Review
Plan of Action and Milestones (POA&M) Review,Review of the plan of action and milestones to track remediation of identified security weaknesses and vulnerabilities.,"Evidence required: current POA&M document showing all open weaknesses, responsible parties, resources, milestones, and scheduled completion dates. Analysis: confirm all identified weaknesses are documented; confirm milestones are being met; confirm completed items have evidence of resolution; confirm POA&M was reviewed and updated within the last 30 days. Conclusion: document overdue milestones and resource gaps. Review monthly.",Risk_Management > Risk Register Review
Security Training Records Review,Verification that security training records are maintained for all personnel and role-based training is completed on schedule.,"Evidence required: training records system export showing completion by individual, role, training type, and date. Analysis: confirm general security awareness training records exist for all personnel; confirm role-based training records exist for personnel in security-sensitive roles (admins, developers, IR team); confirm no records are more than 12 months old without a current completion. Conclusion: document gaps. Review annually.",Human_Resources_Security > Security Training Delivery and Tracking
OH&S Legal Compliance Evaluation,Periodic evaluation of compliance with applicable occupational health and safety legal requirements and other obligations.,Evidence required: register of applicable OH&S legal requirements; compliance evaluation records per requirement; evidence of corrective actions where non-compliance was identified. Analysis: confirm the register is current; confirm evaluation was conducted within the last 12 months; confirm all identified gaps have remediation plans. Conclusion: document non-compliances. Conduct annually.,Occupational_Health_Safety > Hazard Identification and Risk Assessment
OH&S Performance Monitoring Review,Review of OH&S performance metrics and incident statistics to evaluate the effectiveness of OH&S controls and identify trends.,"Evidence required: OH&S performance report for the period covering: incident count and type, near-miss reports, hazard identification actions completed, and objective achievement. Analysis: confirm data covers the full reporting period; confirm trends are identified and discussed; confirm corrective actions are in place for adverse trends. Conclusion: document unresolved adverse trends. Review at minimum quarterly.",Occupational_Health_Safety > Hazard Identification and Risk Assessment
AI System Impact Assessment Review,"Periodic review of AI system impact assessments to confirm they are current, reflect the deployed system, and that identified risks are managed.",Evidence required: AI system impact assessment records for all in-scope AI systems; risk register entries for AI-specific risks; evidence of management approval. Analysis: confirm an impact assessment exists for all AI systems in production; confirm assessments were reviewed following material changes to the system; confirm all identified high risks have treatment plans. Conclusion: document AI systems without current assessments. Conduct annually and after material changes.,AI_Governance > AI Impact Assessment
AI System Performance and Monitoring Review,Review of AI system production monitoring results to confirm systems are performing within defined parameters and unintended outputs are detected.,"Evidence required: AI system monitoring report for the period showing performance metrics, anomaly detections, and any incidents triggered by AI outputs; action log for anomalies. Analysis: confirm monitoring is active for all in-scope AI systems; confirm anomalies were investigated; confirm significant issues were reported to the AI governance committee. Conclusion: document AI systems without active monitoring. Review monthly.",AI_Governance > AI System Monitoring
Anti-Bribery Risk Assessment Review,"Periodic review of the bribery risk assessment to confirm it reflects current operations, geographies, and business relationships.","Evidence required: current bribery risk assessment document with review date; list of high-risk activities, geographies, and business associates. Analysis: confirm assessment was reviewed within the last 12 months or following significant operational changes; confirm high-risk areas have controls documented; confirm assessment was conducted or reviewed by a qualified party. Conclusion: document gaps. Review annually.",Anti_Bribery > Bribery Risk Assessment
Gifts and Hospitality Register Review,"Review of the gifts and hospitality register to confirm entries are complete, approvals are documented, and the register is being actively maintained.","Evidence required: gifts and hospitality register for the period; approval records for items above the defined threshold. Analysis: confirm entries are recorded with required fields (description, value, recipient, business justification, approver); confirm items above threshold have documented approval; confirm any declined or returned items are recorded. Conclusion: document missing entries or approvals. Review quarterly.",Anti_Bribery > Gifts and Hospitality Approval
Anti-Bribery Due Diligence Review,Review of due diligence records for business associates to confirm assessments are current and contractual anti-bribery obligations are in place.,"Evidence required: business associate due diligence register showing risk classification, assessment date, and anti-bribery contractual status; sample of contracts. Analysis: confirm all high-risk business associates were assessed within the last 12 months; confirm anti-bribery clauses are included in sampled contracts; confirm reassessments are triggered by material changes. Conclusion: document overdue assessments. Review annually.",Anti_Bribery > Business Associate Due Diligence
Customer Satisfaction Monitoring,Collection and review of customer satisfaction data to identify trends and drive quality improvements.,Evidence required: customer satisfaction survey results or other feedback mechanism outputs for the period; analysis of results against defined targets; improvement actions identified. Analysis: confirm customer satisfaction data was collected at defined intervals; confirm results were analysed and trends identified; confirm action plans exist for areas below target. Conclusion: document data collection gaps and unaddressed negative trends. Conduct at minimum annually.,Quality_Management > Customer Requirements Review
Quality Nonconformity Review,"Review of product and service nonconformities to confirm they are controlled, investigated, and corrective actions are implemented.","Evidence required: nonconformity log for the period showing description, disposition, root cause, and corrective action status. Analysis: confirm all nonconformities were recorded and dispositioned; confirm root cause analysis was completed for recurring or significant nonconformities; confirm corrective actions have owners and target dates; confirm effectiveness of actions is verified. Conclusion: document unresolved items. Review monthly.",Quality_Management > Nonconformity Management
PII Cross-Border Transfer Review,Review of mechanisms used for cross-border transfers of PII to confirm legal bases are documented and transfers meet applicable requirements.,"Evidence required: data transfer register showing destination countries/organisations, transfer mechanism (adequacy decision, SCCs, BCRs, etc.), and legal basis; sample of transfer agreements. Analysis: confirm all significant cross-border transfers are documented; confirm transfer mechanisms are current and legally valid; confirm data subjects are informed of transfers as required. Conclusion: document undocumented transfers and expired mechanisms. Review annually.",Privacy > PII Processing Assessment
Data Subject Rights Request Fulfilment Review,"Review of data subject rights requests (access, rectification, erasure, portability, objection) to confirm they are fulfilled within required timeframes.","Evidence required: data subject rights request log for the period showing request type, date received, date fulfilled, and outcome. Analysis: confirm all requests were acknowledged and fulfilled within the legally required timeframe; confirm the organisation's ability to locate and act on PII across relevant systems was demonstrated; confirm any refusals were documented with legal justification. Conclusion: document requests not fulfilled on time. Review quarterly.",Privacy > Individual Rights Request Handling
Cyber Governance Programme Review,"Review of the organisation's cybersecurity and data protection governance programme to confirm it is documented, resourced, and operating effectively.","Evidence required: cybersecurity programme documentation (charter, policy, objectives); resource allocation records; performance metrics report. Analysis: confirm programme documentation is current and approved by senior management; confirm cybersecurity responsibilities are assigned; confirm performance metrics are being tracked. Conclusion: document governance gaps. Conduct annually.",Risk_Management > Independent Information Security Review
NIS2 Incident Notification Review,Verification that the organisation's incident notification process meets NIS2 timeframe requirements and that notifications are accurately documented.,"Evidence required: log of significant incidents in the review period; corresponding notification records showing notification date, recipient (competent authority), and content. Analysis: confirm all significant incidents were assessed for NIS2 reporting obligation; confirm initial notifications were made within 24 hours and detailed reports within 72 hours where required; confirm notifications included required content. Conclusion: document incidents where notification obligations were not met. Review following each significant incident.",Incident_Management > Post-Incident Review
AI Prohibited Practices Compliance Review,"Verification that the organisation does not develop, deploy, or use AI systems that perform prohibited practices under the EU AI Act, including subliminal manipulation, exploitation of vulnerabilities, social scoring, and prohibited biometric identification.",Evidence required: inventory of AI systems in use or development; documented review of each system against EU AI Act Article 5 prohibited practices list; legal/compliance sign-off. Analysis: confirm no system deploys subliminal techniques beyond a person's consciousness to distort behaviour; confirm no system exploits vulnerabilities of specific groups; confirm no social scoring systems are in use by public authorities; confirm no real-time remote biometric identification in publicly accessible spaces without lawful basis. Conclusion: document confirmed compliance or identify prohibited uses requiring cessation. Conduct annually and upon deployment of any new AI system.,AI_Governance > AI Impact Assessment
AI System Risk Management Review,"Review of the AI risk management system to confirm it is established, documented, maintained, and operating throughout the AI system lifecycle as required.","Evidence required: AI risk management system documentation; risk identification records covering known and foreseeable risks; testing results; risk treatment decisions. Analysis: confirm the risk management system addresses risks to health, safety, and fundamental rights; confirm testing was performed before deployment; confirm residual risks are within acceptable thresholds; confirm the system is reviewed and updated continuously. Conclusion: document gaps in risk management coverage. Conduct at minimum annually and prior to deployment of any new or substantially modified AI system.",AI_Governance > AI Impact Assessment
AI Training Data Governance Review,"Review of data governance practices for AI training, validation, and testing datasets to confirm they meet quality, representativeness, and bias control requirements.","Evidence required: data governance documentation covering data sources, curation methodology, bias analysis, and quality checks; training data inventory; test results. Analysis: confirm training data is relevant, sufficiently representative, and as free of errors as possible; confirm bias detection and correction measures are in place; confirm data governance practices are documented; confirm special category data handling complies with applicable law. Conclusion: document data governance gaps. Conduct prior to model training and review annually.",AI_Governance > AI System Lifecycle Management
AI Technical Documentation Review,"Verification that technical documentation for AI systems is drawn up before deployment, kept up to date, and contains all required information.","Evidence required: technical documentation for each in-scope AI system containing: general description, development methodology, training data description, validation results, monitoring capabilities, known limitations, and applicable standards. Analysis: confirm documentation was created before market placement or service deployment; confirm it has been updated following material changes; confirm it is retained for the required period (10 years post-deployment). Conclusion: document systems lacking compliant technical documentation. Conduct prior to deployment and review annually.",AI_Governance > AI System Lifecycle Management
AI System Logging and Record-Keeping Review,"Verification that AI systems generate and retain logs enabling traceability of operation, and that log records are maintained for required periods.","Evidence required: logging configuration for in-scope AI systems showing event types captured, retention period, and access controls; sample of logs confirming required fields; retention policy documentation. Analysis: confirm AI systems technically allow automatic recording of events over their lifetime; confirm logs capture sufficient information for traceability of outputs; confirm logs are retained for the legally required period; confirm log access is controlled and protected from tampering. Conclusion: document AI systems with insufficient logging. Conduct quarterly.",Logging_Monitoring > Log Configuration
AI Human Oversight Controls Review,"Verification that high-risk AI systems are designed and deployed with effective human oversight mechanisms, and that oversight roles are assigned to competent personnel.","Evidence required: human oversight design documentation for each high-risk AI system; role assignments for oversight personnel with competence records; evidence that override capability is implemented; operational monitoring records. Analysis: confirm AI systems allow oversight persons to understand capabilities and limitations; confirm persons can intervene or halt operation; confirm oversight personnel have necessary competence, training, and authority; confirm oversight is appropriate to the level of risk and autonomy. Conclusion: document systems where human oversight is insufficient. Conduct at minimum annually.",AI_Governance > AI System Lifecycle Management
AI Transparency and Disclosure Review,"Verification that AI systems intended to interact with humans are disclosed as AI, and that synthetic content is marked, as required.","Evidence required: list of AI systems that interact directly with natural persons or generate synthetic content; disclosure mechanisms implemented (labels, notifications, watermarks); user communications. Analysis: confirm systems interacting with persons are designed to inform users they are interacting with AI; confirm synthetic audio, image, video, or text outputs are machine-readable marked; confirm deployers of emotion recognition or biometric categorisation systems inform exposed persons; confirm deepfake content is disclosed as artificially generated. Conclusion: document non-compliant systems. Conduct at minimum annually.",AI_Governance > AI System Lifecycle Management
AI Serious Incident Reporting Review,"Verification that the organisation has processes to detect, investigate, and report serious AI incidents to the relevant market surveillance authority within required timeframes.",Evidence required: AI serious incident reporting process documentation; log of serious incidents in the review period with notification records showing dates and content; investigation records. Analysis: confirm the organisation has defined what constitutes a serious incident for its AI systems; confirm incident notification was made to the market surveillance authority immediately upon establishing a causal link; confirm incidents resulting in death were reported immediately; confirm investigations were completed and corrective actions taken. Conclusion: document incidents where notification was delayed or omitted. Conduct review following each serious incident.,Incident_Management > Post-Incident Review
AI Post-Market Monitoring Review,"Verification that the organisation actively monitors AI systems after deployment to collect and analyse performance data, identify new risks, and update risk management accordingly.","Evidence required: post-market monitoring plan for each high-risk AI system; monitoring data collected during the period; review records showing analysis of performance, user feedback, and new risks identified; system updates triggered by monitoring. Analysis: confirm a post-market monitoring system is documented and operating; confirm data is actively collected from deployment; confirm monitoring results feed back into the risk management system; confirm material new risks trigger updates to technical documentation. Conclusion: document AI systems without active post-market monitoring. Conduct quarterly.",AI_Governance > AI System Monitoring
Fundamental Rights Impact Assessment,"Execution of a fundamental rights impact assessment before deploying high-risk AI systems, covering impacts on privacy, non-discrimination, dignity, and other protected rights.","Evidence required: fundamental rights impact assessment report for each in-scope high-risk AI system, completed prior to first use; notification record to market surveillance authority; review of prior assessment for reuse where applicable. Analysis: confirm assessment was completed before first deployment; confirm it covers the categories of persons likely to be affected, the risks to fundamental rights, and measures taken to mitigate risks; confirm assessment was notified to the market surveillance authority; confirm assessment is updated when the system is substantially changed. Conclusion: document systems deployed without a completed assessment. Conduct prior to first deployment and upon substantial modification.",AI_Governance > AI Impact Assessment
LLM Prompt Injection Controls Review,"Verification that controls are in place to detect and prevent prompt injection attacks against LLM-based systems, both direct (user input) and indirect (from external content).","Evidence required: prompt injection control configuration (input validation, output sanitisation, privilege restrictions on LLM actions); penetration test or red-team results covering prompt injection; incident log for prompt injection events. Analysis: confirm input validation prevents users from overriding system prompts; confirm indirect prompt injection via external data sources (RAG, plugins) is mitigated through input sanitisation; confirm the LLM cannot be instructed to ignore its safety constraints through adversarial prompts; confirm privilege separation prevents injected instructions from taking privileged actions. Conclusion: document unmitigated injection vectors. Conduct at minimum semi-annually and upon new LLM feature deployment.",Secure_Development > Security Testing in Development
LLM Sensitive Data Disclosure Controls Review,"Verification that LLM-based systems do not disclose sensitive information, PII, or training data through their outputs, and that controls prevent memorisation and re-disclosure.",Evidence required: data handling policies for LLM inputs and outputs; DLP configuration applied to LLM outputs; red-team or testing results covering sensitive data extraction attempts; privacy impact assessment for LLM deployments. Analysis: confirm LLM outputs are scanned for PII and sensitive data before being returned to users; confirm training data does not include unmasked personal data that could be extracted; confirm system prompts containing sensitive configuration are protected from disclosure; confirm access controls prevent users from extracting other users' data. Conclusion: document data leakage risks identified. Conduct at minimum annually.,Secure_Development > Security Testing in Development
LLM Supply Chain Security Review,"Verification that third-party LLM models, datasets, plugins, and infrastructure used in AI systems are assessed for security, provenance, and integrity before use.","Evidence required: inventory of third-party LLM components (base models, fine-tuning datasets, plugins, APIs); security assessment records for each component; vendor security questionnaires or SOC 2 reports; model card or system card review records. Analysis: confirm all third-party LLM components are inventoried with provenance documentation; confirm security assessments were conducted before deployment; confirm model cards were reviewed for known biases, training data risks, and safety evaluations; confirm mechanisms exist to detect if a third-party model has been tampered with. Conclusion: document third-party components without security assessments. Conduct at minimum annually.",Supplier_Management > Supplier Onboarding
LLM Output Validation and Handling Review,"Verification that LLM outputs are validated, sanitised, and handled appropriately before being passed to downstream systems or presented to users, preventing injection attacks and misinformation propagation.","Evidence required: output handling configuration including sanitisation, validation, and content filtering; testing results for output injection vulnerabilities (XSS, command injection via LLM output); content moderation review records; misinformation detection controls. Analysis: confirm LLM outputs passed to downstream systems are sanitised and validated before execution; confirm outputs used in code generation are reviewed before execution; confirm content filters prevent generation of clearly false or harmful content; confirm fact-checking mechanisms are applied where AI output is used for decisions. Conclusion: document unvalidated output channels. Conduct at minimum semi-annually.",Secure_Development > Security Testing in Development
LLM Resource and Agency Controls Review,"Verification that LLM-based agents and agentic systems have appropriate resource limits, permission boundaries, and rate controls to prevent excessive resource consumption and unauthorised autonomous actions.",Evidence required: LLM agent permission and capability configuration; rate limiting and quota configuration; human approval checkpoints for high-impact actions; audit logs of autonomous actions taken. Analysis: confirm LLM agents operate under least-privilege — they can only access systems and take actions explicitly required for their function; confirm rate limiting and quotas prevent unbounded resource consumption; confirm high-impact irreversible actions require human confirmation; confirm all autonomous actions are logged and reviewable; confirm sandbox controls prevent LLM access to unintended systems. Conclusion: document over-privileged or unconstrained agents. Conduct at minimum semi-annually.,Secure_Development > Application Security Requirements Review
GAI Red-Teaming and Adversarial Testing,"Structured adversarial testing of generative AI systems to identify vulnerabilities, safety failures, and potential misuse before deployment and on a recurring basis post-deployment.","Evidence required: red-team test plan and scope documentation; red-team execution report including test scenarios, findings, and severity ratings; evidence that red-team involved diverse expertise including domain experts; remediation tracking for findings. Analysis: confirm red-teaming covered prompt injection, data extraction, jailbreaking, harmful content generation, and misuse scenarios; confirm test team included expertise independent of the development team; confirm critical findings were remediated before deployment; confirm recurring red-team cadence is scheduled. Conclusion: document AI systems without recent red-team testing. Conduct prior to deployment and at minimum annually thereafter.",AI_Governance > AI System Lifecycle Management
Third-Party GAI System Governance Review,"Verification that third-party generative AI systems used in the organisation are governed under formal contracts, monitored continuously, and can be safely decommissioned.","Evidence required: approved third-party GAI technology and service provider list; contracts with security requirements, SLAs, and content ownership clauses; continuous monitoring records for third-party GAI systems; incident response plans covering third-party GAI failures. Analysis: confirm all third-party GAI systems are inventoried; confirm contracts specify security requirements, data handling, content provenance, and right to audit; confirm third-party GAI systems are continuously monitored for performance and safety; confirm fallback procedures exist for third-party GAI system failure. Conclusion: document third-party GAI systems without compliant contracts or monitoring. Conduct at minimum annually.",Supplier_Management > Supplier Review
